sigla_tipo,numero,ano,ementa,votada_plenario,cod_tipo,id,casa,tema,autor,link
PL,3016,2019,Veda que convenção condominial proíba condôminos de tutelarem animais em seus imóveis,0,139,2204113,camara,Meio Ambiente e Desenvolvimento Sustentável,Célio Studart,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2204113
PL,3017,2019,Proíbe o consumo de carne de cães e de gatos em todo território nacional,0,139,2204115,camara,Meio Ambiente e Desenvolvimento Sustentável,Célio Studart,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2204115
PL,3021,2019,Torna inafiançável o tipo penal do art. 32 da Lei de Crimes Ambientais,0,139,2204123,camara,Meio Ambiente e Desenvolvimento Sustentável,Célio Studart,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2204123
PL,3045,2019,Dispõe sobre o exercício de atividades agrossilvipastoris em terras indígenas e dá outras providências.,0,139,2204216,camara,"Agricultura, Pecuária, Pesca e Extrativismo",Nelson Barbudo,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2204216
PL,3062,2019,"Altera a Lei nº 12.305, de 2 de agosto de 2010, para fomentar a recuperação energética dos resíduos sólidos urbanos.",0,139,2204328,camara,Meio Ambiente e Desenvolvimento Sustentável,David Soares,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2204328
PL,3078,2019,"Altera o Decreto-Lei nº 986, de 21 de outubro de 1969, para obrigar os alimentos sujeitos a rotulagem a trazer informações sobre as quantidades de fósforo e potássio",0,139,2204437,camara,"Agricultura, Pecuária, Pesca e Extrativismo",Liziane Bayer,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2204437
PL,3102,2019,"Altera a Lei 12.651, de 25 de maio de    2012, para proibir a exportação de madeira bruta ou semimanufaturada.",0,139,2204534,camara,Meio Ambiente e Desenvolvimento Sustentável,Paulo Ramos,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2204534
PL,3108,2019,Determina que a Revisão Periódica de Segurança de Barragem seja de domínio público e os responsáveis ofereçam treinamento de segurança para as comunidades,0,139,2204560,camara,Meio Ambiente e Desenvolvimento Sustentável,Célio Studart,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2204560
PDL,294,2019,"Susta os efeitos da Portaria Ibama n° 1.135, de 3 de abril de 2019, que ""Delega competência aos Diretores de Proteção Ambiental, de Uso Sustentável da Biodiversidade e Florestas, e de Planejamento, Administração e Logística deste Instituto, para os fins que especifica e dá outras providências.""",0,557,2204564,camara,Meio Ambiente e Desenvolvimento Sustentável,Erika Kokay,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2204564
PL,3117,2019,"Dispõe sobre o Regime de uso do bioma Cerrado, bem como da sua conservação, preservação, proteção, utilização e regeneração.",0,139,2204604,camara,Meio Ambiente e Desenvolvimento Sustentável,Vicentinho Júnior,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2204604
PL,3128,2019,"Altera a Lei nº 12.651, de 25 de Maio de 2012, para dispor sobre a exploração de madeira de espécimes mortas ou naturalmente tombadas.",0,139,2204946,camara,"Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",Mara Rocha,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2204946
PL,3153,2019,"Altera a Lei nº 12.305, de 2 de agosto de 2010, para exigir a elaboração de Plano de Gerenciamento de Resíduos Sólidos para eventos de grande porte.",0,139,2205107,camara,Meio Ambiente e Desenvolvimento Sustentável,Vavá Martins,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2205107
PL,3169,2019,Dispõe sobre a tipificação do crime de perturbação da qualidade ambiental por poluição sonora.,0,139,2205239,camara,Meio Ambiente e Desenvolvimento Sustentável,Carlos Henrique Gaguim,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2205239
PDL,342,2019,"Susta os efeitos da aplicação do Decreto nº 9.806, de 28 de maio de 2019, que ""Altera o Decreto nº 99.274, de 6 de junho de 1990, para dispor sobre a composição e o funcionamento do Conselho Nacional do Meio Ambiente - Conama"".",0,557,2205373,camara,Meio Ambiente e Desenvolvimento Sustentável,Alessandro Molon,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2205373
PDL,340,2019,"Susta os efeitos do Decreto nº 9.806, de 28 de maio de 2019, que altera o Decreto nº 99.274, para dispor sobre a composição e o funcionamento do Conselho Nacional do Meio Ambiente - Conama.",0,557,2205388,camara,Meio Ambiente e Desenvolvimento Sustentável,Ivan Valente,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2205388
PL,3214,2019,Dispõe sobre obrigatoriedade de implantação de logística reversa para recipientes de armazenamento de gás natural veicular.,0,139,2205470,camara,Meio Ambiente e Desenvolvimento Sustentável,Edna Henrique,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2205470
PDL,341,2019,"Susta o Decreto nº 9.806, de 28 de maio de 2019, que altera o Decreto nº 99.274, de 6 de junho de 1990, para dispor sobre a composição e o funcionamento do Conselho Nacional do Meio Ambiente - Conama.",0,557,2205479,camara,Meio Ambiente e Desenvolvimento Sustentável,Célio Studart,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2205479
PL,3226,2019,"Autoriza a pessoa física ou jurídica a realizar doações, de modo facultativo, para os fundos Municipais, Estaduais e Nacional do Animal doméstico diretamente em sua Declaração de Ajuste Anual do Imposto sobre a Renda da Pessoa Física ou Jurídica, e dá outras providências.",0,139,2205521,camara,Meio Ambiente e Desenvolvimento Sustentável,Uldurico Junior,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2205521
