sigla_tipo,numero,ano,ementa,id,casa,tema,autor,link
PRS,48,2019,Institui a Frente Parlamentar dos Senadores dos Estados do Norte e do Nordeste.,136896,senado,Nao especificado,"Senador Rogério Carvalho (PT/SE), Senadora Mailza Gomes (PP/AC), Senador Marcio Bittar (MDB/AC), Senador Sérgio Petecão (PSD/AC), Senador Eduardo Braga (MDB/AM), Senador Omar Aziz (PSD/AM), Senador Plínio Valério (PSDB/AM), Senador Davi Alcolumbre (DEM/AP), Senador Lucas Barreto (PSD/AP), Senador Randolfe Rodrigues (REDE/AP), Senador Paulo Rocha (PT/PA), Senador Zequinha Marinho (PSC/PA), Senador Confúcio Moura (MDB/RO), Senador Marcos Rogério (DEM/RO), Senador Chico Rodrigues (DEM/RR), Senador Mecias de Jesus (PRB/RR), Senador Telmário Mota (PROS/RR), Senador Eduardo Gomes (MDB/TO), Senador Irajá (PSD/TO), Senadora Kátia Abreu (PDT/TO), Senador Renan Calheiros (MDB/AL), Senadora Renilde Bulhões (PROS/AL), Senador Rodrigo Cunha (PSDB/AL), Senador Angelo Coronel (PSD/BA), Senador Jaques Wagner (PT/BA), Senador Otto Alencar (PSD/BA), Senador Cid Gomes (PDT/CE), Senador Eduardo Girão (PODE/CE), Senador Tasso Jereissati (PSDB/CE), Senadora Eliziane Gama (CIDADANIA/MA), Senador Roberto Rocha (PSDB/MA), Senador Weverton (PDT/MA), Senadora Daniella Ribeiro (PP/PB), Senador José Maranhão (MDB/PB), Senador Veneziano Vital do Rêgo (PSB/PB), Senador Fernando Bezerra Coelho (MDB/PE), Senador Humberto Costa (PT/PE), Senador Ciro Nogueira (PP/PI), Senador Elmano Férrer (PODE/PI), Senador Marcelo Castro (MDB/PI), Senador Jean Paul Prates (PT/RN), Senador Styvenson Valentim (PODE/RN), Senadora Zenaide Maia (PROS/RN), Senador Alessandro Vieira (CIDADANIA/SE), Senadora Maria do Carmo Alves (DEM/SE)",https://www25.senado.leg.br/web/atividade/materias/-/materia/136896
PRS,13,2019,"Autoriza o Município de Fortaleza, situado no Estado do Ceará, a contratar operação de crédito externo, com garantia da República Federativa do Brasil, junto ao Banco Internacional para Reconstrução e Desenvolvimento (BIRD), no valor de até US$ 73.300.000,00 (setenta e três milhões e trezentos mil dólares dos Estados Unidos da América).",135464,senado,Nao especificado, Comissão de Assuntos Econômicos,https://www25.senado.leg.br/web/atividade/materias/-/materia/135464
PRS,39,2019,Cria o Grupo Parlamentar Brasil-Mercosul-Aliança do Pacífico.,136538,senado,Nao especificado,Senador Nelsinho Trad (PSD/MS),https://www25.senado.leg.br/web/atividade/materias/-/materia/136538
PDL,51,2019,"Aprova o texto do Acordo sobre Serviços Aéreos entre o Governo da República Federativa do Brasil e o Governo da Comunidade das Bahamas, assinado em Nassau, em 7 de dezembro de 2016.",135528,senado,Nao especificado, Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/135528
PDL,248,2019,"Aprova o ato que outorga autorização à Associação Comunitária de Radiodifusão Nova Conceição para executar serviço de radiodifusão comunitária no Município de Conceição das Alagoas, Estado de Minas Gerais.",136694,senado,Nao especificado, Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/136694
PDL,252,2019,"Aprova o ato que outorga autorização à Associação Comunitária Cultural Paraíso de Radiodifusão (ACCPR) para executar serviço de radiodifusão comunitária no Município de São João do Paraíso, Estado de Minas Gerais.",136698,senado,Nao especificado, Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/136698
PRS,55,2019,Institui o Grupo Parlamentar Brasil-Coréia do Sul e dá outras providências.,137258,senado,Nao especificado,Senador Antonio Anastasia (PSDB/MG),https://www25.senado.leg.br/web/atividade/materias/-/materia/137258
PL,2104,2019,"Altera a Lei nº 8.427, de 27 de maio de 1992, para estender a subvenção econômica nela prevista a produtos extrativos de origem animal.",136200,senado,"Agricultura, pecuária e abastecimento", Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/136200
PRS,17,2019,Institui o Grupo Parlamentar Brasil-França.,135581,senado,Nao especificado,Senador Randolfe Rodrigues (REDE/AP),https://www25.senado.leg.br/web/atividade/materias/-/materia/135581
PRS,19,2019,Cria a Frente Parlamentar Mista para defesa dos Estados do Nordeste.,135602,senado,Nao especificado,Senador Weverton (PDT/MA),https://www25.senado.leg.br/web/atividade/materias/-/materia/135602
