proposicao,id_camara,id_senado,apelido,tema,prioridade,advocacy_link,keywords,tipo_agenda,explicacao_projeto,classificacao_ambientalismo,explicacao_ambientalismo
PL 1358/2019,2193607,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 1407/2019,2193752,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 1505/2019,2194031,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 1519/2019,2194110,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 1689/2019,2195047,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 1702/2019,2195113,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 1776/2019,2195525,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 1820/2019,2195744,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 1860/2019,2195908,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 1965/2019,2196470,,,"Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 1992/2019,2196673,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 1993/2019,2196674,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 1994/2019,2196675,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 2070/2019,2196953,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 2133/2019,2197198,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 2266/2019,2197910,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 2356/2019,2198500,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 2367/2019,2198528,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 2497/2019,2199161,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 2567/2019,2199545,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 2580/2019,2199637,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 2877/2019,2203210,,,"Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 2891/2019,2203408,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 2912/2019,2203486,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 2918/2019,2203522,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 2936/2019,2203668,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 2974/2019,2203976,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 2979/2019,2204001,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 3062/2019,2204328,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 3078/2019,2204437,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 3102/2019,2204534,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 3279/2019,2206303,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 3295/2019,2206405,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 3326/2019,2206610,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 3336/2019,2206678,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 3547/2019,2208118,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 3563/2019,2208325,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 3681/2019,2209047,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 3894/2019,2210920,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 3901/2019,2210928,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 4270/2019,2213774,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 4439/2019,2214911,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 4451/2019,2214943,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 4468/2019,2215109,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 4765/2019,2217798,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 4829/2019,2218334,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 4835/2019,2218428,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 4845/2019,2218445,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 5060/2019,2220199,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 5086/2019,2220520,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 5129/2019,2220695,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PDL 636/2019,2220973,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 5202/2019,2221620,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PDL 655/2019,2224125,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 5555/2019,2225700,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 5568/2019,2225749,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 5630/2019,2226698,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 5633/2019,2226709,,,"Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 5824/2019,2228133,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 5826/2019,2228136,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 5925/2019,2229100,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 6076/2019,2230041,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 6077/2019,2230049,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 6092/2019,2230147,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 6095/2019,2230151,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 6096/2019,2230152,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 6114/2019,2230247,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 6269/2019,2231757,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 6348/2019,2233100,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 6418/2019,2233829,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 6501/2019,2234584,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 1666/2020,2244219,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 3555/2020,2256417,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 2787/2019,2201529,137437,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 18/2019,2190446,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 41/2019,2190474,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 42/2019,2190475,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 48/2019,2190483,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 49/2019,2190484,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 50/2019,2190485,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 51/2019,2190486,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 52/2019,2190487,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 53/2019,2190488,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,neutro
PL 55/2019,2190490,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 56/2019,2190491,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 57/2019,2190492,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 58/2019,2190493,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 62/2019,2190495,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 61/2019,2190496,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 60/2019,2190497,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 108/2019,2190563,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 116/2019,2190569,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 149/2019,2190623,140314,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 153/2019,2190630,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 43/2019,2190647,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 45/2019,2190679,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 47/2019,2190681,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 46/2019,2190682,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 184/2019,2190690,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 269/2019,2190779,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 289/2019,2190782,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 293/2019,2190787,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 299/2019,2190802,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 302/2019,2190808,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 303/2019,2190810,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 315/2019,2190838,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 317/2019,2190843,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 312/2019,2190872,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 336/2019,2190896,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 354/2019,2190933,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 355/2019,2190934,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 357/2019,2190944,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 361/2019,2190983,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 366/2019,2190988,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 367/2019,2190989,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 384/2019,2191050,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 394/2019,2191061,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 427/2019,2191098,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 440/2019,2191112,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 471/2019,2191179,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 473/2019,2191182,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 477/2019,2191188,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PDL 15/2019,2191242,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 545/2019,2191450,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 560/2019,2191473,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 561/2019,2191476,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 567/2019,2191513,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 570/2019,2191516,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 597/2019,2191621,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 608/2019,2191633,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 618/2019,2191650,,,"Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 623/2019,2191655,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 631/2019,2191671,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 649/2019,2191694,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PDL 29/2019,2191728,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PDL 31/2019,2191813,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 707/2019,2191833,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 710/2019,2191854,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 714/2019,2191872,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 716/2019,2191876,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PDL 32/2019,2191969,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 784/2019,2192045,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 793/2019,2192099,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PDL 34/2019,2192110,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PDL 35/2019,2192211,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 857/2019,2192313,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 858/2019,2192314,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 873/2019,2192334,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 884/2019,2192360,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 890/2019,2192375,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 914/2019,2192427,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 918/2019,2192438,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 928/2019,2192484,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 948/2019,2192529,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 949/2019,2192530,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 951/2019,2192532,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 965/2019,2192575,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 966/2019,2192576,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 967/2019,2192577,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 968/2019,2192578,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 969/2019,2192579,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 970/2019,2192580,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 987/2019,2192606,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 1005/2019,2192654,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 1064/2019,2192893,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 1068/2019,2192897,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 1092/2019,2192964,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 1095/2019,2192978,140546,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 1097/2019,2192984,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 1113/2019,2193043,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PDL 43/2019,2193076,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 1118/2019,2193081,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 1123/2019,2193097,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 1124/2019,2193098,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 1130/2019,2193121,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 1134/2019,2193143,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 1164/2019,2193190,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 1176/2019,2193221,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 1181/2019,2193241,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 1202/2019,2193330,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 1259/2019,2193395,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 1261/2019,2193397,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 1327/2019,2193563,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 1356/2019,2193604,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 1362/2019,2193613,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 1371/2019,2193642,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 1441/2019,2193808,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 1456/2019,2193824,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 1457/2019,2193825,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 1486/2019,2193952,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 1516/2019,2194103,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 1522/2019,2194251,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 1524/2019,2194274,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 1573/2019,2194461,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 1583/2019,2194541,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 550/2019,2194912,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 1675/2019,2195014,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 1693/2019,2195050,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 1770/2019,2195484,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
