id_votacao,id_parlamentar,partido,voto
2190237-114,74574,PSD,Sim
2190237-114,204393,PT,Abstenção
2190237-114,204576,PRB,Sim
2190237-114,178952,MDB,Sim
2190237-114,204572,PRB,Sim
2190237-114,195866,PROS,Sim
2190237-114,204505,PRB,Não
2190237-114,204530,PSB,Não
2190237-114,160553,PSD,Sim
2190237-114,204437,PRB,Sim
2190237-114,204466,PSDB,Sim
2190237-114,73891,MDB,Sim
2190237-114,204515,AVANTE,Não
2190237-114,74419,PSB,Obstrução
2190237-114,156190,NOVO,Sim
2190237-114,204365,NOVO,Sim
2190237-114,204380,PP,Sim
2190237-114,204374,PSL,Sim
2190237-114,204502,PSL,Sim
2190237-114,204354,PL,Sim
2190237-114,178996,MDB,Sim
2190237-114,178986,PT,Obstrução
2190237-114,204446,PSL,Sim
2190237-114,204519,NOVO,Sim
2190237-114,204457,DEM,Sim
2190237-114,73943,PCdoB,Obstrução
2190237-114,204404,PSDB,Sim
2190237-114,204522,PSD,Não
2190237-114,204359,PODE,Sim
2190237-114,171617,PT,Obstrução
2190237-114,204411,PSL,Sim
2190237-114,204463,PSD,Sim
2190237-114,204503,PT,Obstrução
2190237-114,204455,PSL,Sim
2190237-114,204426,PT,Obstrução
2190237-114,178934,PROS,Sim
2190237-114,115746,PL,Sim
2190237-114,73788,PP,Sim
2190237-114,108338,PP,Sim
2190237-114,204536,DEM,Sim
2190237-114,204400,PSL,Sim
2190237-114,205865,PSD,Não
2190237-114,141553,PSDB,Sim
2190237-114,178989,PODE,Sim
2190237-114,160641,PCdoB,Obstrução
2190237-114,204458,PSL,Sim
2190237-114,74439,PDT,Obstrução
2190237-114,74352,PSDB,Sim
2190237-114,204488,PV,Não
2190237-114,73801,PCdoB,Obstrução
2190237-114,204538,PTB,Sim
2190237-114,204442,PSL,Sim
2190237-114,74156,PT,Obstrução
2190237-114,90842,PTB,Sim
2190237-114,164360,CIDADANIA,Sim
2190237-114,204460,PSL,Sim
2190237-114,143632,PSD,Não
2190237-114,204389,PSB,Obstrução
2190237-114,90201,PTB,Sim
2190237-114,160635,PSDB,Não
2190237-114,204357,PSDB,Sim
2190237-114,204421,PSDB,Sim
2190237-114,204450,PP,Sim
2190237-114,178933,MDB,Sim
2190237-114,204398,PSL,Sim
2190237-114,204547,PSL,Sim
2190237-114,204383,PV,Não
2190237-114,141513,DEM,Sim
2190237-114,178886,DEM,Sim
2190237-114,204537,PV,Não
2190237-114,122974,PTB,Sim
2190237-114,204444,PSL,Sim
2190237-114,204569,PSL,Sim
2190237-114,178860,DEM,Sim
2190237-114,178909,DEM,Sim
2190237-114,204367,PSL,Sim
2190237-114,204456,MDB,Sim
2190237-114,166402,PL,Sim
2190237-114,171619,PT,Obstrução
2190237-114,188097,PT,Obstrução
2190237-114,160545,DEM,Sim
2190237-114,204382,PSL,Sim
2190237-114,98057,PRB,Sim
2190237-114,204369,PSL,Sim
2190237-114,204440,PP,Sim
2190237-114,178992,PSDB,Sim
2190237-114,204497,PSD,Sim
2190237-114,133810,PTB,Sim
2190237-114,204520,PSL,Sim
2190237-114,204551,SOLIDARIEDADE,Sim
2190237-114,204562,PSD,Não
2190237-114,141488,PT,Obstrução
2190237-114,204361,MDB,Sim
2190237-114,204559,PT,Obstrução
2190237-114,139285,PSB,Obstrução
2190237-114,178939,PROS,Não
2190237-114,204406,PP,Sim
2190237-114,204513,PSL,Sim
2190237-114,204381,DEM,Sim
2190237-114,204390,PP,Sim
2190237-114,204405,PSB,Obstrução
2190237-114,73586,PSB,Obstrução
2190237-114,69871,PODE,Não
2190237-114,178947,DEM,Sim
2190237-114,204498,DEM,Sim
2190237-114,81055,PCdoB,Obstrução
2190237-114,152610,PRB,Sim
2190237-114,204434,SOLIDARIEDADE,Sim
2190237-114,204554,PL,Sim
2190237-114,204355,CIDADANIA,Sim
2190237-114,204483,PSB,Obstrução
2190237-114,74161,PT,Obstrução
2190237-114,204378,PSL,Sim
2190237-114,204394,PSB,Obstrução
2190237-114,204533,PDT,Obstrução
2190237-114,160600,DEM,Sim
2190237-114,204386,DEM,Sim
2190237-114,73772,MDB,Sim
2190237-114,136811,PP,Sim
2190237-114,204553,AVANTE,Abstenção
2190237-114,178831,PP,Sim
2190237-114,178876,PSDB,Sim
2190237-114,204514,PSL,Sim
2190237-114,74044,PTB,Sim
2190237-114,160619,PSD,Sim
2190237-114,204449,PSL,Sim
2190237-114,92699,PP,Sim
2190237-114,154178,PRB,Sim
2190237-114,204462,PSL,Sim
2190237-114,204485,PL,Sim
2190237-114,204385,PSC,Sim
