id_parlamentar_parlametria,peso_politico
1160531,0.0359033
174366,0.0718067
1141458,0.195064
1178970,0.116047
1112437,0.0837934
1178910,0.0878585
1178857,0.0671975
1141464,0.157421
1141470,0.127486
1160619,0.155443
174079,0.378084
174554,0.159792
25529,0.0359033
26295,0.0245609
25936,0.143613
25990,0
2470,0.0974754
25973,0.0976108
25998,0.0850579
23830,0.0897583
25537,0.053855
24994,0.11584
25976,0
23777,0.0718067
25718,0.10598
25531,0.387243
222,0.121231
25953,0.0748874
25540,0.0359033
24525,0.053855
2345,0.053855
25894,0.0718067
25008,0.121123
25385,0.432397
24770,0.0886395
235,0.103954
2581,0.103491
24545,0.119406
24531,0.0738272
25627,0.143613
25895,0.0359033
25350,0.125436
21249,0.0359033
25533,0
25979,0
25926,0.0897583
21186,0.122596
25585,0.0179517
25557,0.143613
25376,0.0995946
2742,0.127995
2285,0.117059
25422,0.0870283
25502,0.107609
25012,0.173151
25236,0.0359033
270,0.0606648
2677,0.0897583
25905,0.0412613
25732,0.92287
25322,0.159
22331,0.0718067
25527,0.053855
25988,0
25959,0
24560,0.102848
23396,0.053855
25535,0.053855
25899,0.0718067
25748,0.194904
21173,0.0897583
174317,0.379817
173586,0.154598
1178886,0.0741707
1151208,0.122222
1178832,0.161058
1178825,0.0571707
174156,0.380288
174299,0.156518
174585,0.155137
1196358,0.0179517
1178879,0.398051
174478,0.710373
1178931,0.125069
1178954,0.0685531
1160510,0.312439
1162332,0.150749
174784,0.211315
1166402,0.174093
1179000,0.124265
1146788,0.0359033
1178983,0.109229
1179001,0.147964
1150418,0.0718067
1160535,0.141096
174398,0.142991
1178956,0.119553
174158,0.166968
1178858,0.100754
1178843,0.13138
174749,0.151823
1188097,0.0662485
1178985,0.16796
1178895,0.102572
1178997,0.0745482
1178896,0.319372
174352,0.124444
1178986,0.0784767
1194260,0.374658
166179,0.149143
174159,0.127434
1178987,0.165705
173692,0.130012
1160556,0.127563
1160642,0.13667
174160,0.108578
1171617,0.130245
1141516,0.100418
1178860,0.139079
1160558,0.117691
174574,0.150355
1193726,0.143528
1141518,0.172423
174400,0.141096
1141488,0.150283
1160604,0.12469
1178844,0.0703781
173486,0.163559
1160601,0.275259
1160639,0.368558
1160641,0.380893
1178951,0.115264
174161,0.127434
1178925,0.323149
25411,0.459925
25783,0.0179517
23806,0.0915189
1178946,0.117583
1178947,0.120893
192776,0.0778224
1177282,0.129155
1178922,0.0949681
1178862,0.0897583
1160976,0.0979331
1178934,0.112953
1178863,0.0299194
1195866,0.123301
1160610,0.106298
174376,0.121487
1141553,0.168011
174283,0.156267
1137070,0.0589703
1141555,0.0359033
1160591,0.0920686
1178992,0.122487
1160569,0.363605
1178952,0.112106
