nome,id_entidade_parlametria,partido,uf,casa,governismo,governismo_ma,peso_politico,votos_favoraveis,votos_contra,votos_indef,votos_sim_nao,apoio
Cacá Leão,193083,PP,BA,camara,6.64562970064247,8.728401846161908,0.0782719,2,14,0,16,0.125
Camilo Capiberibe,1204352,PSB,AP,camara,-2.8197716873620955,-5.1359541122235886,0.152755,4,0,18,4,1
Capitão Alberto Neto,1204572,REPUBLICANOS,AM,camara,5.095642755325818,3.586598034731697,0,1,13,0,14,0.07142857142857142
Capitão Augusto,1178829,PL,SP,camara,4.770914638172544,5.371942935335909,0.301754,3,19,0,22,0.13636363636363635
Capitão Wagner,1204487,PROS,CE,camara,1.5240652094706526,0.5073776047831267,0.0667491,3,20,0,23,0.13043478260869565
Carla Zambelli,1204507,PSL,SP,camara,6.883352037421414,3.5807730309864603,0.028104,1,19,0,20,0.05
Carlos Chiodini,1204361,MDB,SC,camara,4.173591659047236,4.339681418022662,0.0514599,1,15,0,16,0.0625
Carlos Gomes,1178962,REPUBLICANOS,RS,camara,4.5275876179009025,4.054099296331483,0.0641516,1,6,0,7,0.14285714285714285
Carlos Henrique Gaguim,1178993,DEM,TO,camara,4.811309652543795,6.213530497349446,0.114194,3,18,0,21,0.14285714285714285
Carlos Jordy,1204460,PSL,RJ,camara,6.8110269356068365,6.952550314199847,0.023589100000000002,2,20,0,22,0.09090909090909091
Carlos Sampaio,174262,PSDB,SP,camara,2.9939908587306423,-0.7528746650701574,0.292866,6,5,0,11,0.5454545454545454
Carlos Veras,1204426,PT,PE,camara,-6.172196568181232,-6.106540167467587,0.0283247,1,0,11,1,1
Carlos Zarattini,1141398,PT,SP,camara,-4.919172540000528,-8.55555595250689,0.102804,2,0,6,2,1
Carmen Zanotto,1164360,CIDADANIA,SC,camara,1.9309031523639053,0.7621424803901604,0.151261,3,18,0,21,0.14285714285714285
Caroline De Toni,1204369,PSL,SC,camara,7.474608884958091,3.9809890328526,0.0138869,2,21,0,23,0.08695652173913043
Cássio Andrade,1204499,PSB,PA,camara,-0.3513045064537632,-1.6652600251838532,0.109788,4,5,11,9,0.4444444444444444
Celina Leão,1204380,PP,DF,camara,4.650323876843315,4.974903450260616,0.0807953,2,15,0,17,0.11764705882352941
Célio Moura,1204370,PT,TO,camara,-4.482645441188434,-6.747522743646701,0.0517705,3,0,13,3,1
Célio Silveira,1178876,PSDB,GO,camara,3.3138297603682503,4.643133198091849,0.113987,1,19,0,20,0.05
Célio Studart,1204488,PV,CE,camara,-1.1376416668423701,-3.7025323831707446,0.106076,9,0,12,9,1
Celso Maldaner,1141405,MDB,SC,camara,4.35708093554069,5.465189878913851,0.0991477,3,16,0,19,0.15789473684210525
Celso Russomanno,173441,REPUBLICANOS,SP,camara,4.627408447483576,4.776384478709064,0.06973,0,5,0,5,0
Celso Sabino,1204496,PSDB,PA,camara,3.965328373295753,-0.3707918966607373,0.0259965,6,17,0,23,0.2608695652173913
Cezinha De Madureira,1204504,PSD,SP,camara,5.56723873883662,2.9979819650735138,0.0760921,2,8,0,10,0.2
Charles Fernandes,1205476,PSD,BA,camara,2.4930543138250485,-0.5503382062159687,0.0749672,4,19,0,23,0.17391304347826086
Charlles Evangelista,1204490,PSL,MG,camara,5.207726074846802,3.457299498390345,0.0230384,2,19,0,21,0.09523809523809523
Chico D'angelo,1141439,PDT,RJ,camara,-2.1590414188609772,-3.5367236952214895,0.132647,2,0,8,2,1
Chiquinho Brazão,1204476,AVANTE,RJ,camara,4.424933521301401,1.6844341873044044,0.141063,3,17,0,20,0.15
Chris Tonietto,1204462,PSL,RJ,camara,8.481257304478788,4.675218888056012,0.0591791,2,20,0,22,0.09090909090909091
Christiane De Souza Yared,1178928,PL,PR,camara,4.9049530054445984,4.728176063221651,0.0762781,2,19,0,21,0.09523809523809523
Christino Aureo,1204440,PP,RJ,camara,4.014547421675555,7.0589803999201735,0.0919193,2,17,0,19,0.10526315789473684
Clarissa Garotinho,1178939,PROS,RJ,camara,0.7534040712879282,-2.368543823839138,0.152075,5,1,0,6,0.8333333333333334
Claudio Cajado,174537,PP,BA,camara,5.984336889167107,5.731727965170119,0.123781,1,0,0,1,1
Cleber Verde,1141408,REPUBLICANOS,MA,camara,4.872176009627863,4.666991875448325,0.06973,2,18,0,20,0.1
Coronel Armando,1204376,PSL,SC,camara,7.170510785248364,4.006340129885054,0.00273013,2,21,0,23,0.08695652173913043
Coronel Chrisóstomo,1204378,PSL,RO,camara,6.699809776524237,2.5214807491379965,0,1,16,0,17,0.058823529411764705
Coronel Tadeu,1204514,PSL,SP,camara,5.749481755625251,7.595584001854679,0.013946,2,15,0,17,0.11764705882352941
Cristiano Vale,1135054,PL,PA,camara,5.1862812986647135,6.872912559769105,0.0574888,3,18,0,21,0.14285714285714285
Da Vitoria,1204355,CIDADANIA,ES,camara,2.80615992183213,-0.06616044894396644,0.102226,5,15,0,20,0.25
Damião Feliciano,174467,PDT,PB,camara,-1.1209746473184552,-2.0399065344244516,0.138957,1,0,3,1,1
Daniel Almeida,174060,PCdoB,BA,camara,-3.0095933776356443,-7.648331925830365,0.420334,1,0,6,1,1
