orientacao_ma,nome_proposicao,ementa_proposicao,obj_votacao,resumo,data,autor,tema,uri_tramitacao,id_proposicao,id_votacao,casa,id_parlamentar,voto,id_entidade_parlametria,nome,sexo,partido,uf,governismo,peso_politico
SIM,PL 1543/2020,Autoriza a prorrogação de dívidas rurais em decorrência da pandemia do coronavírus (Covid-19).,"Votação do Projeto de Lei nº 1.543, de 2020 e Emendas, nos termos do parecer.",https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141437/votacoes#votacao_6121,2020-05-26T00:00:00Z,Mecias de Jesus REPUBLICANOS / RR,"Agricultura, pecuária e abastecimento",https://www25.senado.leg.br/web/atividade/materias/-/materia/141437,141437,6121,senado,5953,Sim,25953,Fabiano Contarato,M,REDE,ES,-6.475067277189618,0.281313
SIM,PL 1543/2020,Autoriza a prorrogação de dívidas rurais em decorrência da pandemia do coronavírus (Covid-19).,"Votação do Projeto de Lei nº 1.543, de 2020 e Emendas, nos termos do parecer.",https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141437/votacoes#votacao_6121,2020-05-26T00:00:00Z,Mecias de Jesus REPUBLICANOS / RR,"Agricultura, pecuária e abastecimento",https://www25.senado.leg.br/web/atividade/materias/-/materia/141437,141437,6121,senado,5540,Sim,25540,Fernando Bezerra Coelho,M,MDB,PE,8.987401324944308,0.251028
SIM,PL 1543/2020,Autoriza a prorrogação de dívidas rurais em decorrência da pandemia do coronavírus (Covid-19).,"Votação do Projeto de Lei nº 1.543, de 2020 e Emendas, nos termos do parecer.",https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141437/votacoes#votacao_6121,2020-05-26T00:00:00Z,Mecias de Jesus REPUBLICANOS / RR,"Agricultura, pecuária e abastecimento",https://www25.senado.leg.br/web/atividade/materias/-/materia/141437,141437,6121,senado,4525,Sim,24525,Fernando Collor,M,PROS,AL,-5.812077780937416,0.041838
SIM,PL 1543/2020,Autoriza a prorrogação de dívidas rurais em decorrência da pandemia do coronavírus (Covid-19).,"Votação do Projeto de Lei nº 1.543, de 2020 e Emendas, nos termos do parecer.",https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141437/votacoes#votacao_6121,2020-05-26T00:00:00Z,Mecias de Jesus REPUBLICANOS / RR,"Agricultura, pecuária e abastecimento",https://www25.senado.leg.br/web/atividade/materias/-/materia/141437,141437,6121,senado,345,Sim,2345,Flávio Arns,M,PODEMOS,PR,-4.225396369010732,0.041838
SIM,PL 1543/2020,Autoriza a prorrogação de dívidas rurais em decorrência da pandemia do coronavírus (Covid-19).,"Votação do Projeto de Lei nº 1.543, de 2020 e Emendas, nos termos do parecer.",https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141437/votacoes#votacao_6121,2020-05-26T00:00:00Z,Mecias de Jesus REPUBLICANOS / RR,"Agricultura, pecuária e abastecimento",https://www25.senado.leg.br/web/atividade/materias/-/materia/141437,141437,6121,senado,345,Sim,2345,Flávio Arns,M,REDE,PR,-4.225396369010732,0.041838
SIM,PL 1543/2020,Autoriza a prorrogação de dívidas rurais em decorrência da pandemia do coronavírus (Covid-19).,"Votação do Projeto de Lei nº 1.543, de 2020 e Emendas, nos termos do parecer.",https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141437/votacoes#votacao_6121,2020-05-26T00:00:00Z,Mecias de Jesus REPUBLICANOS / RR,"Agricultura, pecuária e abastecimento",https://www25.senado.leg.br/web/atividade/materias/-/materia/141437,141437,6121,senado,5894,P-NRV,25894,Flávio Bolsonaro,M,REPUBLICANOS,RJ,10,0.055784
SIM,PL 1543/2020,Autoriza a prorrogação de dívidas rurais em decorrência da pandemia do coronavírus (Covid-19).,"Votação do Projeto de Lei nº 1.543, de 2020 e Emendas, nos termos do parecer.",https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141437/votacoes#votacao_6121,2020-05-26T00:00:00Z,Mecias de Jesus REPUBLICANOS / RR,"Agricultura, pecuária e abastecimento",https://www25.senado.leg.br/web/atividade/materias/-/materia/141437,141437,6121,senado,5008,Sim,25008,Humberto Costa,M,PT,PE,-8.709200337096954,0.317232
SIM,PL 1543/2020,Autoriza a prorrogação de dívidas rurais em decorrência da pandemia do coronavírus (Covid-19).,"Votação do Projeto de Lei nº 1.543, de 2020 e Emendas, nos termos do parecer.",https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141437/votacoes#votacao_6121,2020-05-26T00:00:00Z,Mecias de Jesus REPUBLICANOS / RR,"Agricultura, pecuária e abastecimento",https://www25.senado.leg.br/web/atividade/materias/-/materia/141437,141437,6121,senado,5385,P-NRV,25385,Irajá,M,PSD,TO,-3.695982808523828,0.335914
SIM,PL 1543/2020,Autoriza a prorrogação de dívidas rurais em decorrência da pandemia do coronavírus (Covid-19).,"Votação do Projeto de Lei nº 1.543, de 2020 e Emendas, nos termos do parecer.",https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141437/votacoes#votacao_6121,2020-05-26T00:00:00Z,Mecias de Jesus REPUBLICANOS / RR,"Agricultura, pecuária e abastecimento",https://www25.senado.leg.br/web/atividade/materias/-/materia/141437,141437,6121,senado,4770,Sim,24770,Izalci Lucas,M,PSDB,DF,6.70037933059324,0.291997
SIM,PL 1543/2020,Autoriza a prorrogação de dívidas rurais em decorrência da pandemia do coronavírus (Covid-19).,"Votação do Projeto de Lei nº 1.543, de 2020 e Emendas, nos termos do parecer.",https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141437/votacoes#votacao_6121,2020-05-26T00:00:00Z,Mecias de Jesus REPUBLICANOS / RR,"Agricultura, pecuária e abastecimento",https://www25.senado.leg.br/web/atividade/materias/-/materia/141437,141437,6121,senado,35,NCom,235,Jader Barbalho,M,MDB,PA,-0.2725608036660976,0.080758
SIM,PL 1543/2020,Autoriza a prorrogação de dívidas rurais em decorrência da pandemia do coronavírus (Covid-19).,"Votação do Projeto de Lei nº 1.543, de 2020 e Emendas, nos termos do parecer.",https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141437/votacoes#votacao_6121,2020-05-26T00:00:00Z,Mecias de Jesus REPUBLICANOS / RR,"Agricultura, pecuária e abastecimento",https://www25.senado.leg.br/web/atividade/materias/-/materia/141437,141437,6121,senado,581,Sim,2581,Jaques Wagner,M,PT,BA,-10,0.0803983
SIM,PL 1543/2020,Autoriza a prorrogação de dívidas rurais em decorrência da pandemia do coronavírus (Covid-19).,"Votação do Projeto de Lei nº 1.543, de 2020 e Emendas, nos termos do parecer.",https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141437/votacoes#votacao_6121,2020-05-26T00:00:00Z,Mecias de Jesus REPUBLICANOS / RR,"Agricultura, pecuária e abastecimento",https://www25.senado.leg.br/web/atividade/materias/-/materia/141437,141437,6121,senado,4545,Sim,24545,Jarbas Vasconcelos,M,MDB,PE,-0.8156693247621831,0.0927622
SIM,PL 1543/2020,Autoriza a prorrogação de dívidas rurais em decorrência da pandemia do coronavírus (Covid-19).,"Votação do Projeto de Lei nº 1.543, de 2020 e Emendas, nos termos do parecer.",https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141437/votacoes#votacao_6121,2020-05-26T00:00:00Z,Mecias de Jesus REPUBLICANOS / RR,"Agricultura, pecuária e abastecimento",https://www25.senado.leg.br/web/atividade/materias/-/materia/141437,141437,6121,senado,4531,Sim,24531,Jayme Campos,M,DEM,MT,2.523969357234023,0.0573537
SIM,PL 1543/2020,Autoriza a prorrogação de dívidas rurais em decorrência da pandemia do coronavírus (Covid-19).,"Votação do Projeto de Lei nº 1.543, de 2020 e Emendas, nos termos do parecer.",https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141437/votacoes#votacao_6121,2020-05-26T00:00:00Z,Mecias de Jesus REPUBLICANOS / RR,"Agricultura, pecuária e abastecimento",https://www25.senado.leg.br/web/atividade/materias/-/materia/141437,141437,6121,senado,5627,Sim,25627,Jean Paul Prates,M,PT,RN,-9.900226890929455,0.111568
SIM,PL 1543/2020,Autoriza a prorrogação de dívidas rurais em decorrência da pandemia do coronavírus (Covid-19).,"Votação do Projeto de Lei nº 1.543, de 2020 e Emendas, nos termos do parecer.",https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141437/votacoes#votacao_6121,2020-05-26T00:00:00Z,Mecias de Jesus REPUBLICANOS / RR,"Agricultura, pecuária e abastecimento",https://www25.senado.leg.br/web/atividade/materias/-/materia/141437,141437,6121,senado,5895,Sim,25895,Jorge Kajuru,M,CIDADANIA,GO,-4.805564731659851,0.251028
SIM,PL 1543/2020,Autoriza a prorrogação de dívidas rurais em decorrência da pandemia do coronavírus (Covid-19).,"Votação do Projeto de Lei nº 1.543, de 2020 e Emendas, nos termos do parecer.",https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141437/votacoes#votacao_6121,2020-05-26T00:00:00Z,Mecias de Jesus REPUBLICANOS / RR,"Agricultura, pecuária e abastecimento",https://www25.senado.leg.br/web/atividade/materias/-/materia/141437,141437,6121,senado,5350,Sim,25350,Jorginho Mello,M,PL,SC,2.7483274418711936,0.320583
SIM,PL 1543/2020,Autoriza a prorrogação de dívidas rurais em decorrência da pandemia do coronavírus (Covid-19).,"Votação do Projeto de Lei nº 1.543, de 2020 e Emendas, nos termos do parecer.",https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141437/votacoes#votacao_6121,2020-05-26T00:00:00Z,Mecias de Jesus REPUBLICANOS / RR,"Agricultura, pecuária e abastecimento",https://www25.senado.leg.br/web/atividade/materias/-/materia/141437,141437,6121,senado,3361,Sim,23361,José Maranhão,M,MDB,PB,0.1571963588405687,NA
SIM,PL 1543/2020,Autoriza a prorrogação de dívidas rurais em decorrência da pandemia do coronavírus (Covid-19).,"Votação do Projeto de Lei nº 1.543, de 2020 e Emendas, nos termos do parecer.",https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141437/votacoes#votacao_6121,2020-05-26T00:00:00Z,Mecias de Jesus REPUBLICANOS / RR,"Agricultura, pecuária e abastecimento",https://www25.senado.leg.br/web/atividade/materias/-/materia/141437,141437,6121,senado,90,Sim,290,José Serra,M,PSDB,SP,1.9070474846068048,0.055784
