id_entidade,id_entidade_parlametria,casa,nome,sexo,partido,uf,governismo,governismo_ma,peso_politico,assinadas,autorias_ponderadas,positivas,negativas,neutras
204572,1204572,camara,Capitão Alberto Neto,M,REPUBLICANOS,AM,5.095642755325818,3.586598034731697,0,8,8,7,1,0
204573,1204573,camara,Otto Alencar Filho,M,PSD,BA,2.051169939026087,3.432274808286781,0.0613553,1,1,1,0,0
204574,1204574,camara,Junior Lourenço,M,PL,MA,5.822294860559467,6.304724812703512,0.088667,0,0,NA,NA,NA
204575,1204575,camara,Gil Cutrim,M,PDT,MA,2.8373130492695218,0.2656077329816,0.0606319,1,1,1,0,0
204576,1204576,camara,João Roma,M,REPUBLICANOS,BA,4.703963062599442,1.4636287448607472,0,0,0,NA,NA,NA
205476,1205476,camara,Charles Fernandes,M,PSD,BA,2.4930543138250485,-0.5503382062159687,0.0934391,1,1,0,1,0
205535,1205535,camara,Patricia Ferraz,F,PODE,AP,3.094940339192661,-0.1423335078401209,0.170882,0,0,NA,NA,NA
205548,1205548,camara,David Miranda,M,PSOL,RJ,-6.671582489892106,-8.973861970924675,0.0785702,9,0.8324346405228759,8,1,0
205550,1205550,camara,Jorge Braz,M,REPUBLICANOS,RJ,4.381196614079787,0.7608233035869247,0.0799586,0,0,NA,NA,NA
205863,1205863,camara,Marcelo Brum,M,PSL,RS,6.156049824320792,4.0973823083891485,0,4,4,0,4,0
205865,1205865,camara,Reinhold Stephanes Junior,M,PSD,PR,5.014342540379523,0.9892153960937407,0.147724,2,2,1,0,1
206231,1206231,camara,Ted Conti,M,PSB,ES,-1.0046149940670794,-3.6220418997416175,0.0157162,3,0.13711433756805808,3,0,0
207176,1207176,camara,Bia Cavassa,F,PSDB,MS,2.851077581897755,1.276999619296289,0.166244,2,2,2,0,0
207309,1207309,camara,Enéias Reis,M,PSL,MG,5.12127251294239,3.9246797040402885,0.0456446,0,0,NA,NA,NA
209189,1209189,camara,Joseildo Ramos,M,PT,BA,-6.739051957146476,-7.997158836043601,0.106264,2,0.04195804195804196,2,0,0
211649,1211649,camara,Ricardo Pericar,M,PSL,RJ,7.669294459863,NA,NA,0,0,NA,NA,NA
211866,1211866,camara,Fabiano Tolentino,M,CIDADANIA,MG,2.5265567870357906,3.048000779736366,0.229075,0,0,NA,NA,NA
212504,1212504,camara,Fernando Borja,M,AVANTE,MG,2.305129160839437,3.8740105507818576,0.183682,0,0,NA,NA,NA
212625,1212625,camara,Dr. Gonçalo,M,REPUBLICANOS,MA,7.6903729678324275,3.970409037141355,0.139058,0,0,NA,NA,NA
212749,1212749,camara,Marcão Gomes,M,PL,RJ,6.1108415230528905,3.4295975248436825,0.215278,0,0,NA,NA,NA
213274,1213274,camara,Ricardo Silva,M,PSB,SP,0.5119101343402317,-4.521002920641295,NA,1,1,1,0,0
213679,1213679,camara,Dr. João,M,PROS,BA,4.096104079479835,-0.1802100145090364,NA,0,0,NA,NA,NA
213762,1213762,camara,Carla Dickson,F,PROS,RN,2.9133228736645034,7.267876619498669,NA,0,0,NA,NA,NA
213854,1213854,camara,Dr. Agripino Magalhães,M,PROS,CE,2.1251155406888618,-1.9872582570600859,NA,0,0,NA,NA,NA
213856,1213856,camara,Deuzinho Filho,M,REPUBLICANOS,CE,3.2175005525346485,NA,NA,1,1,1,0,0
214445,1214445,camara,Nilson F. Stainsack,M,PP,SC,7.383393286175156,4.56575865013459,NA,1,1,0,1,0
214477,1214477,camara,Renato Queiroz,M,MDB,RR,3.411470209426346,2.091356951730008,NA,0,0,NA,NA,NA
214694,1214694,camara,Jorge Goetten,M,PL,SC,7.523485370487062,2.3502406664972746,NA,0,0,NA,NA,NA
215042,1215042,camara,Ricardo Da Karol,M,PSC,RJ,NA,NA,NA,0,0,NA,NA,NA
215043,1215043,camara,Josivaldo Jp,M,PODE,MA,NA,NA,NA,0,0,NA,NA,NA
215044,1215044,camara,Vivi Reis,F,PSOL,PA,NA,NA,NA,0,0,NA,NA,NA
215045,1215045,camara,Pedro Augusto Palareti,M,PSD,RJ,NA,NA,NA,0,0,NA,NA,NA
215361,1215361,camara,Rachel Marques,F,PT,CE,NA,NA,NA,0,0,NA,NA,NA
22,222,senado,Esperidião Amin,M,PP,SC,1.7112615869312915,-0.43334902533991126,0.395503,3,0.10500938726745178,3,0,0
2331,22331,senado,Rose de Freitas,F,MDB,ES,1.6619751361711543,0.3296245074319941,NA,6,5.035714285714286,6,0,0
285,2285,senado,Marcio Bittar,M,MDB,AC,8.02856571214874,7.319343414254362,0.113346,5,3.533333333333333,1,4,0
336,2336,senado,Paulo Gouvêa,M,DEM,SC,NA,NA,NA,0,0,NA,NA,NA
3361,23361,senado,José Maranhão,M,MDB,PB,3.84042420236338,-0.05940626075387456,0.0869115,0,0,NA,NA,NA
3396,23396,senado,Tasso Jereissati,M,PSDB,CE,3.3534693085582603,1.4865684503272902,0.0521469,4,1.1013227513227513,3,0,1
