id_leggo,id_ext,sigla_tipo,numero,ementa,data_apresentacao,casa_origem,status,nome_proposicao,apelido,tema,prioridade,advocacy_link,keywords,tipo_agenda,explicacao_projeto,classificacao_ambientalismo,explicacao_ambientalismo
444df3df507f78ab1e222d379afb484f,2264352,PDL,450,"Susta a Resolução nº 428 de 07 de outubro de 2020, da Agência Nacional de Vigilância Sanitária (ANVISA), que permite a utilização de estoque remanescente do agrotóxico paraquate.",2020-10-15T09:54:00Z,camara,Ativa,PDL 450/2020,NA,"Agricultura, Pecuária, Pesca e Extrativismo",NA,NA,NA,NA,NA,NA,NA
e49b933a807c2e15bb5cae1f129fb95e,2264354,PL,4934,"Altera o art. 41 da Lei nº 9.605, de 12 de fevereiro de 1998, para agravar as sanções e restrições administrativas na hipótese de prática de incêndios criminosos contra matas ou florestas.",2020-10-15T11:39:00Z,camara,Ativa,PL 4934/2020,NA,Meio Ambiente e Desenvolvimento Sustentável,NA,NA,NA,NA,NA,NA,NA
02e93380e62a7f22a31325eb7c2f6412,2264536,PL,4980,Altera a Lei 12.305/2010 para proibir a incineração de resíduos sólidos urbanos.,2020-10-20T17:42:00Z,camara,Ativa,PL 4980/2020,NA,Meio Ambiente e Desenvolvimento Sustentável,NA,NA,NA,NA,NA,NA,NA
ab5ab2b3e890e3b80b2c0d86f717fa59,2264576,PL,4993,Altera a redação do art. 32 da Lei 9.605 de 1988 para obrigar o agressor a reparar o custo de tratamento e resgate do animal vítima de maus-tratos.,2020-10-21T15:59:00Z,camara,Ativa,PL 4993/2020,NA,Meio Ambiente e Desenvolvimento Sustentável,NA,NA,NA,NA,NA,NA,NA
c3ae21f63bee99ec3e2b02cb03e1a9f2,2264636,PL,5014,"Proíbe a utilização agropecuária ou urbana das terras com cobertura vegetal nativa ilegalmente desmatadas ou queimadas, pelo prazo de 20 anos.",2020-10-23T16:45:00Z,camara,Ativa,PL 5014/2020,NA,"Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",NA,NA,NA,NA,NA,NA,NA
837013af79f47cbcb2d7d8b3758ff313,2264637,PL,5015,Altera a redação do art. 5º da Lei 7.797 para permitir a destinação de recursos do Fundo Nacional de Meio Ambiente para a proteção animal.,2020-10-23T16:52:00Z,camara,Ativa,PL 5015/2020,NA,Meio Ambiente e Desenvolvimento Sustentável,NA,NA,NA,NA,NA,NA,NA
27abca38445ce68e409791fd0c87194f,2264650,PL,5020,"Altera o art. 33 da Lei nº 12.305, de 2 de agosto de 2010, que institui a Política Nacional de Resíduos Sólidos, para incluir as máscaras descartáveis entre os produtos sujeitos a logística reversa.",2020-10-26T09:06:00Z,camara,Ativa,PL 5020/2020,NA,Meio Ambiente e Desenvolvimento Sustentável,NA,NA,NA,NA,NA,NA,NA
616aee8a9980fe7332d4670d6f52722e,2264748,PL,5048,Altera a redação do art. 5º da Lei 7.797.,2020-10-27T16:52:00Z,camara,Ativa,PL 5048/2020,NA,Meio Ambiente e Desenvolvimento Sustentável,NA,NA,NA,NA,NA,NA,NA
f9156583f0be5b6dc937fe838d589178,2264953,PL,5085,"Altera a Lei nº 12.787, de 11 de janeiro de 2013, para dispor sobre o licenciamento de empreendimentos de irrigação.",2020-11-04T11:15:00Z,camara,Ativa,PL 5085/2020,NA,"Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",NA,NA,NA,NA,NA,NA,NA
ead928bfae6c8e119576a76b369a1b6a,2264954,PL,5086,"Altera a Lei 12.651, de 25 de maio de 2012, para dispor sobre a proteção de restingas, dunas e das áreas de preservação permanente no entorno de reservatórios artificiais.",2020-11-04T11:15:00Z,camara,Ativa,PL 5086/2020,NA,Meio Ambiente e Desenvolvimento Sustentável,NA,NA,NA,NA,NA,NA,NA
0ac1d9953e5610e8bc6b8f5439318658,2265025,PDL,474,"Susta os efeitos da Portaria nº 263, de 29 de outubro de 2020 que “Suspende Licenças de Pescadores Profissionais inscritos no Registro Geral da Atividade Pesqueira, com base no artigo 16, inciso IV, da Instrução Normativa MPA nº 6, de 29 de junho de 2012”.",2020-11-05T09:07:00Z,camara,Ativa,PDL 474/2020,NA,"Agricultura, Pecuária, Pesca e Extrativismo",NA,NA,NA,NA,NA,NA,NA
57fbdab47ccd4833335158287f22a7de,2265026,PL,5094,"Altera a Lei nº 10.779, de 25 de novembro de 2003, para incluir categorias entre as beneficiárias do seguro-desemprego durante o período do defeso.",2020-11-05T09:14:00Z,camara,Ativa,PL 5094/2020,NA,"Agricultura, Pecuária, Pesca e Extrativismo",NA,NA,NA,NA,NA,NA,NA
f9baa5ea7c5d02025b6cb1903d6e5b27,2265073,PL,5118,"“Isenta, de impostos, taxas ou qualquer outro tributo, todos os componentes utilizados na fabricação e energia renovável”",2020-11-09T09:38:00Z,camara,Ativa,PL 5118/2020,NA,Meio Ambiente e Desenvolvimento Sustentável,NA,NA,NA,NA,NA,NA,NA
374157e9d0f30d6d7b0387c9f21e32d8,2265074,PL,5119,"“Isenta de qualquer imposto Federal, Estadual e Municipal o consumo de energia renovável”",2020-11-09T09:38:00Z,camara,Ativa,PL 5119/2020,NA,Meio Ambiente e Desenvolvimento Sustentável,NA,NA,NA,NA,NA,NA,NA
d183d1460ed044cadee4f3537eca8810,2265075,PDL,475,"Susta a aplicação do inciso I, do §2º, do artigo 25, da Resolução nº 4, de 2 de abril de 2015, do Conselho Deliberativo do Fundo Nacional de Desenvolvimento da Educação (FNDE), que ""Altera a redação dos artigos 25 a 32 da Resolução/CD/FNDE nº 26, de 17 de junho de 2013, no âmbito do Programa Nacional de Alimentação Escolar (PNAE)"".",2020-11-09T10:07:00Z,camara,Ativa,PDL 475/2020,NA,"Agricultura, Pecuária, Pesca e Extrativismo",NA,NA,NA,NA,NA,NA,NA
5fd9eaa5866450d61187aeeece44333f,2265092,PL,5123,"Dispõe sobre o Sistema de Avaliação e Certificação da Conformidade Ambiental, Social e de Governança – CertiASG – Óleo e Gás — que trata das normas voluntárias de sustentabilidade para certificação de processos das cadeias produtivas relacionadas à produção de óleo e gás e dá outras providências.",2020-11-09T14:26:00Z,camara,Ativa,PL 5123/2020,NA,Meio Ambiente e Desenvolvimento Sustentável,NA,NA,NA,NA,NA,NA,NA
9de143d78e9da328efdebfb3e6674c48,2265117,PL,5135,Dispõe sobre gestão de bens imóveis do Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis - Ibama.,2020-11-10T13:12:00Z,camara,Ativa,PL 5135/2020,NA,Meio Ambiente e Desenvolvimento Sustentável,NA,NA,NA,NA,NA,NA,NA
e3abde9362a5c877acf1847c6a08093e,2265159,PL,5146,"Altera a Lei nº 11.445, de 05 de janeiro de 2007, para prever a modalidade de pagamento dos serviços de limpeza urbana e manejo de resíduos sólidos por volume ou peso de resíduos não separados segundo a sua composição e para prever incentivos positivos para o descarte seletivo de resíduos.",2020-11-11T16:42:00Z,camara,Ativa,PL 5146/2020,NA,Meio Ambiente e Desenvolvimento Sustentável,NA,NA,NA,NA,NA,NA,NA
