id_leggo,id_principal,casa,id_autor.x,id_autor.y,peso_arestas,num_coautorias,nome.x,partido.x,uf.x,casa_autor.x,bancada.x,nome.y,partido.y,uf.y,casa_autor.y,bancada.y
c3ffb2d938e9cf73197d8731aa6c3255,142690,senado,5718,5718,1,1,Sen. Eliziane Gama,CIDADANIA,MA,senado,governo,Sen. Eliziane Gama,CIDADANIA,MA,senado,governo
c7b6bcd6022b6818e3f8314d05ce2afb,144966,senado,374,374,1,1,Sen. Paulo Rocha,PT,PA,senado,oposição,Sen. Paulo Rocha,PT,PA,senado,oposição
c7b6bcd6022b6818e3f8314d05ce2afb,144966,senado,374,5008,0.25,1,Sen. Paulo Rocha,PT,PA,senado,oposição,Sen. Humberto Costa,PT,PE,senado,oposição
c7b6bcd6022b6818e3f8314d05ce2afb,144966,senado,374,5352,0.25,1,Sen. Paulo Rocha,PT,PA,senado,oposição,Sen. Rogério Carvalho,PT,SE,senado,oposição
c7b6bcd6022b6818e3f8314d05ce2afb,144966,senado,374,581,0.25,1,Sen. Paulo Rocha,PT,PA,senado,oposição,Sen. Jaques Wagner,PT,BA,senado,oposição
c7b6bcd6022b6818e3f8314d05ce2afb,144966,senado,5008,5008,1,1,Sen. Humberto Costa,PT,PE,senado,oposição,Sen. Humberto Costa,PT,PE,senado,oposição
c7b6bcd6022b6818e3f8314d05ce2afb,144966,senado,5008,5352,0.25,1,Sen. Humberto Costa,PT,PE,senado,oposição,Sen. Rogério Carvalho,PT,SE,senado,oposição
c7b6bcd6022b6818e3f8314d05ce2afb,144966,senado,5352,5352,1,1,Sen. Rogério Carvalho,PT,SE,senado,oposição,Sen. Rogério Carvalho,PT,SE,senado,oposição
c7b6bcd6022b6818e3f8314d05ce2afb,144966,senado,581,5008,0.25,1,Sen. Jaques Wagner,PT,BA,senado,oposição,Sen. Humberto Costa,PT,PE,senado,oposição
c7b6bcd6022b6818e3f8314d05ce2afb,144966,senado,581,5352,0.25,1,Sen. Jaques Wagner,PT,BA,senado,oposição,Sen. Rogério Carvalho,PT,SE,senado,oposição
c9f0b0979086bb844be663a309d34a46,135117,senado,6027,6027,1,1,Sen. Mecias de Jesus,REPUBLICANOS,RR,senado,governo,Sen. Mecias de Jesus,REPUBLICANOS,RR,senado,governo
ca3f10dd9ddb8b43db025b84e0f231e9,137850,senado,4770,4770,1,1,Sen. Izalci Lucas,PSDB,DF,senado,governo,Sen. Izalci Lucas,PSDB,DF,senado,governo
ca3f10dd9ddb8b43db025b84e0f231e9,137850,senado,5895,5895,1,1,Sen. Jorge Kajuru,PATRIOTA,GO,senado,governo,Sen. Jorge Kajuru,PATRIOTA,GO,senado,governo
cc265921abc63c5090042f84ecce26fb,143587,senado,1249,1249,1,1,Sen. Kátia Abreu,PP,TO,senado,governo,Sen. Kátia Abreu,PP,TO,senado,governo
