id_leggo,source,target,value
27801502fe8b57eb8c5a318fcfe79d57,74161,160511,0.14285714285714285
27801502fe8b57eb8c5a318fcfe79d57,74161,160541,0.14285714285714285
27801502fe8b57eb8c5a318fcfe79d57,74161,160556,0.14285714285714285
27801502fe8b57eb8c5a318fcfe79d57,74161,204407,0.14285714285714285
27801502fe8b57eb8c5a318fcfe79d57,74161,74262,0.14285714285714285
27801502fe8b57eb8c5a318fcfe79d57,74262,132504,0.14285714285714285
27801502fe8b57eb8c5a318fcfe79d57,74262,160511,0.14285714285714285
27801502fe8b57eb8c5a318fcfe79d57,74262,160541,0.14285714285714285
27801502fe8b57eb8c5a318fcfe79d57,74262,160556,0.14285714285714285
27801502fe8b57eb8c5a318fcfe79d57,74262,204407,0.14285714285714285
2838c2a81b6a2f88b43a0a8b9bdd7297,178832,204383,0.25
2838c2a81b6a2f88b43a0a8b9bdd7297,178832,204488,0.25
2838c2a81b6a2f88b43a0a8b9bdd7297,178832,204537,0.25
2838c2a81b6a2f88b43a0a8b9bdd7297,204383,204488,0.25
2838c2a81b6a2f88b43a0a8b9bdd7297,204383,204537,0.25
2838c2a81b6a2f88b43a0a8b9bdd7297,204488,204537,0.25
330f394d2388250c763c3ab946fb4daf,132504,178970,0.3333333333333333
330f394d2388250c763c3ab946fb4daf,132504,178986,0.3333333333333333
330f394d2388250c763c3ab946fb4daf,178970,178986,0.3333333333333333
353789166b9a38339234931bcd6c35ca,134812,152605,0.1111111111111111
353789166b9a38339234931bcd6c35ca,134812,204407,0.1111111111111111
353789166b9a38339234931bcd6c35ca,134812,204509,0.1111111111111111
353789166b9a38339234931bcd6c35ca,134812,204535,0.1111111111111111
353789166b9a38339234931bcd6c35ca,134812,205548,0.1111111111111111
353789166b9a38339234931bcd6c35ca,152605,204407,0.1111111111111111
353789166b9a38339234931bcd6c35ca,152605,204509,0.1111111111111111
353789166b9a38339234931bcd6c35ca,152605,204535,0.1111111111111111
353789166b9a38339234931bcd6c35ca,152605,205548,0.1111111111111111
353789166b9a38339234931bcd6c35ca,160528,204483,0.3333333333333333
353789166b9a38339234931bcd6c35ca,160528,206231,0.3333333333333333
353789166b9a38339234931bcd6c35ca,204407,204509,0.1111111111111111
353789166b9a38339234931bcd6c35ca,204407,204535,0.1111111111111111
353789166b9a38339234931bcd6c35ca,204407,205548,0.1111111111111111
353789166b9a38339234931bcd6c35ca,204483,206231,0.3333333333333333
353789166b9a38339234931bcd6c35ca,204509,204535,0.1111111111111111
353789166b9a38339234931bcd6c35ca,204509,205548,0.1111111111111111
353789166b9a38339234931bcd6c35ca,204535,205548,0.1111111111111111
353789166b9a38339234931bcd6c35ca,73531,134812,0.1111111111111111
353789166b9a38339234931bcd6c35ca,73531,152605,0.1111111111111111
353789166b9a38339234931bcd6c35ca,73531,204407,0.1111111111111111
353789166b9a38339234931bcd6c35ca,73531,204509,0.1111111111111111
353789166b9a38339234931bcd6c35ca,73531,204535,0.1111111111111111
353789166b9a38339234931bcd6c35ca,73531,205548,0.1111111111111111
353789166b9a38339234931bcd6c35ca,73531,74784,0.1111111111111111
353789166b9a38339234931bcd6c35ca,73531,76874,0.1111111111111111
353789166b9a38339234931bcd6c35ca,74784,134812,0.1111111111111111
353789166b9a38339234931bcd6c35ca,74784,152605,0.1111111111111111
353789166b9a38339234931bcd6c35ca,74784,204407,0.1111111111111111
353789166b9a38339234931bcd6c35ca,74784,204509,0.1111111111111111
353789166b9a38339234931bcd6c35ca,74784,204535,0.1111111111111111
353789166b9a38339234931bcd6c35ca,74784,205548,0.1111111111111111
353789166b9a38339234931bcd6c35ca,74784,76874,0.1111111111111111
353789166b9a38339234931bcd6c35ca,76874,134812,0.1111111111111111
353789166b9a38339234931bcd6c35ca,76874,152605,0.1111111111111111
353789166b9a38339234931bcd6c35ca,76874,204407,0.1111111111111111
353789166b9a38339234931bcd6c35ca,76874,204509,0.1111111111111111
353789166b9a38339234931bcd6c35ca,76874,204535,0.1111111111111111
353789166b9a38339234931bcd6c35ca,76874,205548,0.1111111111111111
356d73e720dbbf019086505f783b6769,134812,152605,0.2111111111111111
356d73e720dbbf019086505f783b6769,134812,204407,0.2111111111111111
356d73e720dbbf019086505f783b6769,134812,204464,0.1
356d73e720dbbf019086505f783b6769,134812,204509,0.2111111111111111
