id_leggo,id_autor_parlametria,id_ext,casa,id_autor,nome_autor,partido,uf,tipo_autor,casa_autor,tipo_generico,sigla_local,peso_total_documentos,num_documentos,is_important,bancada,tipo_acao
15dbe4328ddcbb677a040a03a4ffbc90,1204505,2190496,camara,204505,Vavá Martins,REPUBLICANOS,PA,Deputado,camara,Parecer,CMADS,2,2,TRUE,governo,Outros
15dbe4328ddcbb677a040a03a4ffbc90,1141408,2190496,camara,141408,Cleber Verde,REPUBLICANOS,MA,Deputado,camara,Prop. Original / Apensada,CMADS,1,1,TRUE,governo,Proposição
15dbe4328ddcbb677a040a03a4ffbc90,1198783,2190496,camara,198783,Emanuel Pinheiro Neto,PTB,MT,Deputado,camara,Prop. Original / Apensada,CMADS,1,1,TRUE,governo,Proposição
15dbe4328ddcbb677a040a03a4ffbc90,1204488,2190496,camara,204488,Célio Studart,PV,CE,Deputado,camara,Prop. Original / Apensada,CMADS,1,1,TRUE,governo,Proposição
15dbe4328ddcbb677a040a03a4ffbc90,1204494,2190496,camara,204494,Fred Costa,PATRIOTA,MG,Deputado,camara,Prop. Original / Apensada,CMADS,1,1,TRUE,governo,Proposição
15dbe4328ddcbb677a040a03a4ffbc90,1204505,2190496,camara,204505,Vavá Martins,REPUBLICANOS,PA,Deputado,camara,Requerimento,CCP,1,1,FALSE,governo,Proposição
15dbe4328ddcbb677a040a03a4ffbc90,1204540,2190496,camara,204540,Maria Rosas,REPUBLICANOS,SP,Deputado,camara,Prop. Original / Apensada,CCP,1,1,FALSE,governo,Proposição
2f4900063390c580e22253222f86f86e,1204494,2190497,camara,204494,Fred Costa,PATRIOTA,MG,Deputado,camara,Prop. Original / Apensada,CCP,1,1,FALSE,governo,Proposição
a81b4f6e8993425391a55d6e1c1836c8,1204488,2190498,camara,204488,Célio Studart,PV,CE,Deputado,camara,Prop. Original / Apensada,CCP,1,1,FALSE,governo,Proposição
a81b4f6e8993425391a55d6e1c1836c8,1204494,2190498,camara,204494,Fred Costa,PATRIOTA,MG,Deputado,camara,Prop. Original / Apensada,CCP,1,1,FALSE,governo,Proposição
a81b4f6e8993425391a55d6e1c1836c8,1204496,2190498,camara,204496,Celso Sabino,PSDB,PA,Deputado,camara,Prop. Original / Apensada,CCP,1,1,FALSE,governo,Proposição
1db364484a7f086878f6889f701dc1c8,1204352,2190563,camara,204352,Camilo Capiberibe,PSB,AP,Deputado,camara,Parecer,CMADS,1,1,TRUE,oposição,Outros
1db364484a7f086878f6889f701dc1c8,1204530,2190563,camara,204530,Rodrigo Agostinho,PSB,SP,Deputado,camara,Prop. Original / Apensada,CMADS,1,1,TRUE,oposição,Proposição
e6c8e8ea0284fc642634173649f746f6,1178989,2190569,camara,178989,Renata Abreu,PODE,SP,Deputado,camara,Prop. Original / Apensada,CCJC,1,1,TRUE,governo,Proposição
