id_principal,casa,id_documento,sigla,descricao_tipo_documento,id_autor,data,url_inteiro_teor,id_leggo,peso_autor_documento,casa_autor,nome_eleitoral,autores,id_autor_parlametria,tipo_documento,tipo_acao
2203836,camara,2190944,PL 357/2019,Projeto de Lei,178832,2019-02-05,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1707304,0a47e56a70f7c68aa7176ebe6ae36476,1,camara,Dep. Leandre (PV/PR),Dep. Leandre (PV/PR),1178832,Prop. Original / Apensada,Proposição
2203836,camara,2222242,PL 5264/2019,Projeto de Lei,160632,2019-09-26,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1813018,0a47e56a70f7c68aa7176ebe6ae36476,1,camara,Dep. Zé Silva (SOLIDARIEDADE/MG),Dep. Zé Silva (SOLIDARIEDADE/MG),1160632,Prop. Original / Apensada,Proposição
2203836,camara,2225421,PRL 1/0,Parecer do Relator,204569,2019-10-15,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1821157,0a47e56a70f7c68aa7176ebe6ae36476,1,camara,Dep. Delegado Pablo (PSL/AM),Dep. Delegado Pablo (PSL/AM),1204569,Parecer,Outros
2203836,camara,2225422,SBT 1/0,Substitutivo,204569,2019-10-15,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1821157,0a47e56a70f7c68aa7176ebe6ae36476,1,camara,Dep. Delegado Pablo (PSL/AM),Dep. Delegado Pablo (PSL/AM),1204569,Parecer,Outros
2203836,camara,2264212,PL 4869/2020,Projeto de Lei,204376,2020-10-08,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1935511,0a47e56a70f7c68aa7176ebe6ae36476,1,camara,Dep. Coronel Armando (PSL/SC),Dep. Coronel Armando (PSL/SC),1204376,Prop. Original / Apensada,Proposição
2203976,camara,2203976,PL 2974/2019,Projeto de Lei,204472,2019-05-21,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1750112,ef4b03e54bcc1e1180bbd5e1d1c23b1a,1,camara,Dep. José Medeiros (PODE/MT),Dep. José Medeiros (PODE/MT),1204472,Prop. Original / Apensada,Proposição
2203976,camara,2225944,PRL 1/0,Parecer do Relator,204407,2019-10-18,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1823066,ef4b03e54bcc1e1180bbd5e1d1c23b1a,1,camara,Dep. Fernanda Melchionna (PSOL/RS),Dep. Fernanda Melchionna (PSOL/RS),1204407,Parecer,Outros
2204001,camara,2204001,PL 2979/2019,Projeto de Lei,194260,2019-05-21,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1750195,ba62da275cc9c5e0a26e39c85887c8e0,1,camara,Dep. Nivaldo Albuquerque (PTB/AL),Dep. Nivaldo Albuquerque (PTB/AL),1194260,Prop. Original / Apensada,Proposição
2204001,camara,2214253,PRL 1/0,Parecer do Relator,66828,2019-08-08,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1786741,ba62da275cc9c5e0a26e39c85887c8e0,1,camara,Dep. Fausto Pinato (PP/SP),Dep. Fausto Pinato (PP/SP),166828,Parecer,Outros
2204041,camara,2204041,PDL 348/2019,Projeto de Decreto Legislativo de Sustação de Atos Normativos do Poder Executivo,160655,2019-05-21,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1750278,728e3259f5fc67358b5af336cf70c81e,1,camara,Dep. Ricardo Izar (PP/SP),Dep. Ricardo Izar (PP/SP),1160655,Prop. Original / Apensada,Proposição
