id_leggo,casa_origem,casa_revisora,criterio_aprovada_em_uma_casa,casa_aprovacao,data_aprovacao,criterio_avancou_comissoes,comissoes_camara,comissoes_senado,criterio_req_urgencia_apresentado,casa_req_urgencia_apresentado,data_req_urgencia_apresentado,criterio_req_urgencia_aprovado,casa_req_urgencia_aprovado,data_req_urgencia_aprovado
4df2df54dcf9c62abd3d35ed25039971,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
2bde12e389c795c5d43714df55c4e24b,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
0d283a482121fe5265a344532cd49b77,camara,senado,FALSE,NA,NA,TRUE,CCJC,,FALSE,NA,NA,FALSE,NA,NA
afbcf1dc6a34e71e8b4c54100ea479f0,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
0a18bffbb7a241f3518f3b71f9981296,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
05d5d845205816cdafc2e74dd5d17b73,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
539786b5611ffae58065309c91f72923,camara,senado,FALSE,NA,NA,TRUE,CCJC,,FALSE,NA,NA,FALSE,NA,NA
9511c12aa1c6f2247268a1f9f25c4359,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
61376b9e19a90752492ea9241388eaee,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
e31804469e768e45e9f65369586ae643,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
e42813a899ad8788c2be5ccf9f3ddcf5,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
1af6e2ed55ca8d11d72977bbfab3adc6,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
8dcb1e198c7cf960b11c60e00208b8dc,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
e4f8077208cae2f57717511f550498be,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
7daedbd24681280c7a8df5a50648ab70,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
3ac8959398f73234fe2ad05388274ad9,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
4fac10e0bbf78781c20ae5cb52a9a984,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
4a001f7671130d9d64f0a0c83095ed84,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
df16b2c7ecb909c2d8da98f9f44658e2,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
76e3be9ffef545e3e21ad37be1203452,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
6db2d3efa0395153609184182bbcf542,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
50789e0898e03fcb3798a113ab6b01ba,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
010f108d87169e77e6d08336510fdcac,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
d984bfa4da6659d8d2e888d1546ef0c7,camara,senado,FALSE,NA,NA,TRUE,CCJC,,FALSE,NA,NA,FALSE,NA,NA
6712bb6fa558cc1cf100dcf5c1288f6f,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
4bd283eadd26434f2d3eae83ce59b72a,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
ca50e10e7de00bada4c633a3540de202,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
0c9aa15cfc14477a98c8c3a12e3859b3,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
a36bd0e4e0b031b5ffcb9bb6e2e7ba57,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
49d30048c7c075702a2cc6b83025223b,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
0e8d78e34229cda3252902608ad157b4,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
eeca5e94df0d6e19cefe7bc95001a1ed,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
dcbb134bc747b578d68f5bcfe5b4e287,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
6a38b246ad96596e6a94a33eba950454,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
5c610a6965db08a8fc04c88f1675f379,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
d77b232a1b1d83cac9b8fb35bd62f2a2,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
4c869825ce37056bd8f0b8c725b1f115,camara,senado,FALSE,NA,NA,TRUE,CCJC,,FALSE,NA,NA,FALSE,NA,NA
3bc9b55d6083754826999a7e15ff5344,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
add8eb3734e4655be03a0bd732870f61,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
29bb72f03b74908d12550c7cdba126e9,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
d636fb0df04363c45007a0a27a5d67a1,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
1f3a446d8fa39ce55332e3c572f18ac1,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
7cecd388ab5976bbab5145f4d9f594e8,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
36113a4ff679f4d0dc96ebc75a380da7,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
